City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,laojunmiao,39.8333,97.7333,17.99,36,1,1.99,CN,1689287882
334,luau,-10.7073,22.2247,14.77,44,0,2.03,AO,1689287882
335,banda aceh,5.5577,95.3222,27.0,68,94,4.53,ID,1689287883
336,marsh harbour,26.5412,-77.0636,29.32,72,69,4.36,BS,1689287883
337,brezina,33.0989,1.2608,33.73,15,93,3.68,DZ,1689287883
338,tyukalinsk,55.8732,72.1967,21.93,65,91,3.57,RU,1689287883
339,talnakh,69.4865,88.3972,4.56,89,76,2.89,RU,1689287884
340,acajutla,13.5928,-89.8275,29.87,76,77,3.33,SV,1689287738
341,edwards,39.645,-106.5942,30.57,22,53,2.24,US,1689287884
342,pisco,-13.7,-76.2167,21.03,73,0,9.26,PE,1689287884
343,vernon,50.2581,-119.2691,30.16,44,62,2.68,CA,1689287758
344,gifford,27.6753,-80.4092,32.25,72,0,3.09,US,1689287885
345,saint-pierre,-21.3393,55.4781,21.43,94,75,7.2,RE,1689287885
346,madalena,41.2162,-8.3345,19.75,87,4,0.48,PT,1689287885
347,christchurch,-43.5333,172.6333,14.15,82,20,0.51,NZ,1689287810
348,karaton,-6.3424,106.1045,22.52,94,97,1.76,ID,1689287886
349,bengkulu,-3.8004,102.2655,24.37,90,99,2.29,ID,1689287761
350,bubaque,11.2833,-15.8333,28.01,81,83,6.03,GW,1689287886
351,egilsstadir,65.2653,-14.3948,5.95,75,75,2.57,IS,1689287886
352,antsiranana,-12.2787,49.2917,22.31,77,19,5.0,MG,1689287887
353,abong mbang,3.9833,13.1833,19.49,97,56,0.81,CM,1689287887
354,kavieng,-2.5744,150.7967,27.46,82,77,3.6,PG,1689287887
355,raceland,29.7274,-90.599,34.99,69,0,3.09,US,1689287888
356,cidreira,-30.1811,-50.2056,13.03,85,100,6.76,BR,1689287888
357,gaiman,-43.2897,-65.4929,6.79,53,100,3.02,AR,1689287888
358,tamandare,-8.7597,-35.1047,24.11,84,2,2.74,BR,1689287888
359,hengchun,22.0042,120.7439,28.72,78,94,6.05,TW,1689287888
360,mugia,43.1041,-9.2179,17.73,80,9,5.45,ES,1689287889
361,kavaratti,10.5669,72.642,27.66,79,100,6.68,IN,1689287889
362,coahuayana de hidalgo,18.7,-103.6583,32.46,61,47,3.2,MX,1689287890
